"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","9/30/25, 4:35 PM","—","Tuesday, September 30, 2025 at 4:35 PM","SPY","250,000","666.31","$166.6M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","",""
"","","","","[","Tuesday, September 30, 2025 at 4:35 PM","QQQ","200,000","600.43","$120.1M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","4:35 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 4:35 PM","SPY","200,000","666.30","$133.3M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","4:35 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 4:35 PM","QQQ","167,000","600.44","$100.3M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","4:35 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 4:35 PM","SPY","108,000","666.31","$72M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","4:35 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 4:35 PM","SPY","135,093","666.21","$90M","17 days ago","Tuesday, September 30, 2025 at 4:20 PM","4:35 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 4:38 PM","SPY","253,589","663.59","$168.3M","17 days ago","Tuesday, September 30, 2025 at 4:23 PM","4:38 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","9/30/25, 5:02 PM","—","Tuesday, September 30, 2025 at 5:02 PM","MSFT","150,138","517.95","$77.8M","17 days ago","Tuesday, September 30, 2025 at 4:47 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","9/30/25, 5:09 PM","—","Tuesday, September 30, 2025 at 5:09 PM","SPY","1,000,000","666.31","$666.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","",""
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","1,000,000","666.31","$666.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","110,000","666.30","$73.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","200,000","666.31","$133.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","900,000","666.31","$599.7M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","300,000","666.30","$199.9M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","500,000","666.31","$333.2M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","250,000","666.31","$166.6M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","QQQ","167,000","600.44","$100.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","108,000","666.31","$72M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","SPY","200,000","666.30","$133.3M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"","","","","[","Tuesday, September 30, 2025 at 5:09 PM","QQQ","200,000","600.43","$120.1M","17 days ago","Tuesday, September 30, 2025 at 4:54 PM","5:09 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","9/30/25, 5:34 PM","—","Tuesday, September 30, 2025 at 5:34 PM","RSP","698,344","189.70","$132.5M","17 days ago","Tuesday, September 30, 2025 at 5:19 PM","",""
"","","","","[","Tuesday, September 30, 2025 at 5:34 PM","TD","930,500","79.95","$74.4M","17 days ago","Tuesday, September 30, 2025 at 5:19 PM","5:34 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","9/30/25, 5:53 PM","—","Tuesday, September 30, 2025 at 5:53 PM","SPY","132,400","666.18","$88.2M","17 days ago","Tuesday, September 30, 2025 at 5:38 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 8:58 AM","—","Wednesday, October 1, 2025 at 8:58 AM","VOO","685,800","610.06","$418.4M","16 days ago","Wednesday, October 1, 2025 at 8:43 AM","",""
"","","","","[","Wednesday, October 1, 2025 at 9:02 AM","HAS","2,676,162","64.47","$172.5M","16 days ago","Wednesday, October 1, 2025 at 8:47 AM","9:02 AM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 10:02 AM","—","Wednesday, October 1, 2025 at 10:02 AM","TLT","1,000,000","89.53","$89.5M","16 days ago","Wednesday, October 1, 2025 at 9:47 AM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 10:24 AM","—","Wednesday, October 1, 2025 at 10:24 AM","BKLN","3,800,000","20.92","$79.5M","16 days ago","Wednesday, October 1, 2025 at 10:09 AM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 11:56 AM","—","Wednesday, October 1, 2025 at 11:56 AM","PBUS","1,101,675","67.05","$73.9M","16 days ago","Wednesday, October 1, 2025 at 11:40 AM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 12:16 PM","—","Wednesday, October 1, 2025 at 12:16 PM","VOO","677,675","613.38","$415.7M","16 days ago","Wednesday, October 1, 2025 at 12:01 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 12:37 PM","—","Wednesday, October 1, 2025 at 12:37 PM","SPY","126,757","666.34","$84.5M","16 days ago","Wednesday, October 1, 2025 at 12:22 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 1:31 PM","—","Wednesday, October 1, 2025 at 1:31 PM","AVEM","1,181,344","75.76","$89.5M","16 days ago","Wednesday, October 1, 2025 at 1:16 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 1:44 PM","—","Wednesday, October 1, 2025 at 1:44 PM","TSLA","748,125","458.25","$342.8M","16 days ago","Wednesday, October 1, 2025 at 1:29 PM","",""
"","","","","[","Wednesday, October 1, 2025 at 1:44 PM","TSLA","249,375","458.25","$114.3M","16 days ago","Wednesday, October 1, 2025 at 1:29 PM","1:44 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 1:50 PM","TSLA","550,000","459.13","$252.5M","16 days ago","Wednesday, October 1, 2025 at 1:35 PM","1:50 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 2:08 PM","—","Wednesday, October 1, 2025 at 2:08 PM","SPY","126,770","666.34","$84.5M","16 days ago","Wednesday, October 1, 2025 at 1:53 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 3:04 PM","—","Wednesday, October 1, 2025 at 3:04 PM","LQD","750,000","111.46","$83.6M","16 days ago","Wednesday, October 1, 2025 at 2:48 PM","",""
"","","","","[","Wednesday, October 1, 2025 at 3:09 PM","META","150,000","721.09","$108.2M","16 days ago","Wednesday, October 1, 2025 at 2:54 PM","3:09 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 3:39 PM","—","Wednesday, October 1, 2025 at 3:39 PM","SPY","126,770","666.34","$84.5M","16 days ago","Wednesday, October 1, 2025 at 3:23 PM","",""
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/1/25, 4:12 PM","—","Wednesday, October 1, 2025 at 4:12 PM","SPY","126,757","666.34","$84.5M","16 days ago","Wednesday, October 1, 2025 at 3:57 PM","",""
"","","","","[","Wednesday, October 1, 2025 at 4:15 PM","PFE","2,845,373","27.21","$77.4M","16 days ago","Wednesday, October 1, 2025 at 4:00 PM","4:15 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:15 PM","AMZN","1,410,000","220.63","$311.1M","16 days ago","Wednesday, October 1, 2025 at 4:00 PM","4:15 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:16 PM","SPY","216,548","668.45","$144.8M","16 days ago","Wednesday, October 1, 2025 at 4:00 PM","4:16 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:16 PM","SOXX","1,343,550","276.17","$371M","16 days ago","Wednesday, October 1, 2025 at 4:01 PM","4:16 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:16 PM","SPY","300,000","668.45","$200.5M","16 days ago","Wednesday, October 1, 2025 at 4:01 PM","4:16 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:17 PM","JPM","307,000","310.71","$95.4M","16 days ago","Wednesday, October 1, 2025 at 4:02 PM","4:17 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:17 PM","SPY","126,770","666.34","$84.5M","16 days ago","Wednesday, October 1, 2025 at 4:02 PM","4:17 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:17 PM","AVGO","1,000,000","333.39","$333.4M","16 days ago","Wednesday, October 1, 2025 at 4:02 PM","4:17 PM","]"
"","","","","[","Wednesday, October 1, 2025 at 4:18 PM","MSFT","140,000","519.71","$72.8M","16 days ago","Wednesday, October 1, 2025 at 4:03 PM","4:18 PM","]"
