"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:24 PM","—","Thursday, November 13, 2025 at 1:24 PM","Call Sweep","MRK","95","02/20/2026","Call","Ask","1,489","$751.9K","4,364","3,729","a day ago","Thursday, November 13, 2025 at 1:09 PM","",""
"","","","","[","Thursday, November 13, 2025 at 1:26 PM","Call Sweep","LLY","1,020","12/19/2025","Call","Above","250","$1.3M","1,255","991","a day ago","Thursday, November 13, 2025 at 1:10 PM","1:26 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:32 PM","—","Thursday, November 13, 2025 at 1:32 PM","Put Sweep","IREN","55","12/19/2025","Put","Ask","662","$698.4K","2,600","1,565","a day ago","Thursday, November 13, 2025 at 1:17 PM","",""
"","","","","[","Thursday, November 13, 2025 at 1:37 PM","Put Sweep","SOFI","25","01/16/2026","Put","Ask","5,000","$850K","6,171","11,384","a day ago","Thursday, November 13, 2025 at 1:22 PM","1:37 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:41 PM","—","Thursday, November 13, 2025 at 1:41 PM","Put Sweep","AMZN","230","01/16/2026","Put","Above","500","$417.8K","1,808","14,591","a day ago","Thursday, November 13, 2025 at 1:26 PM","",""
"","","","","[","Thursday, November 13, 2025 at 1:42 PM","Call Sweep","CRWD","570","01/16/2026","Call","Ask","200","$508K","201","1,349","a day ago","Thursday, November 13, 2025 at 1:26 PM","1:42 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:44 PM","Call Sweep","NVDA","180","01/16/2026","Call","Above","250","$443.8K","1,123","63,259","a day ago","Thursday, November 13, 2025 at 1:29 PM","1:44 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:44 PM","Call Sweep","AMD","280","01/16/2026","Call","Above","711","$885.2K","2,580","7,722","a day ago","Thursday, November 13, 2025 at 1:29 PM","1:44 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:50 PM","—","Thursday, November 13, 2025 at 1:50 PM","Call Sweep","AMD","240","11/14/2025","Call","Ask","656","$577.3K","8,869","8,081","a day ago","Thursday, November 13, 2025 at 1:35 PM","",""
"","","","","[","Thursday, November 13, 2025 at 1:52 PM","Put Sweep","NVDA","160","01/16/2026","Put","Above","1,571","$786.5K","2,612","55,380","a day ago","Thursday, November 13, 2025 at 1:37 PM","1:52 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:52 PM","Call Sweep","TNA","35","04/17/2026","Call","Ask","1,000","$990K","1,003","1,064","a day ago","Thursday, November 13, 2025 at 1:37 PM","1:52 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:53 PM","Unusual Put Sweep","QBTS","22","01/21/2028","Put","Ask","361","$404.3K","410","122","a day ago","Thursday, November 13, 2025 at 1:38 PM","1:53 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:54 PM","Call Sweep","COIN","330","12/18/2026","Call","Ask","175","$1.1M","991","1,303","a day ago","Thursday, November 13, 2025 at 1:38 PM","1:54 PM","]"
"","","","","[","Thursday, November 13, 2025 at 1:54 PM","Put Sweep","SMH","330","12/19/2025","Put","Ask","385","$406.2K","584","3,218","a day ago","Thursday, November 13, 2025 at 1:38 PM","1:54 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:10 PM","—","Thursday, November 13, 2025 at 2:10 PM","Put Sweep","TSLA","355","12/19/2025","Put","Ask","501","$513.5K","1,865","1,121","a day ago","Thursday, November 13, 2025 at 1:55 PM","",""
"","","","","[","Thursday, November 13, 2025 at 2:13 PM","Put Sweep","STUB","20","11/21/2025","Put","Ask","1,750","$525K","6,110","3,154","a day ago","Thursday, November 13, 2025 at 1:57 PM","2:13 PM","]"
"","","","","[","Thursday, November 13, 2025 at 2:13 PM","Unusual Call Sweep","MSTR","230","11/21/2025","Call","Ask","1,946","$583.8K","21,540","616","a day ago","Thursday, November 13, 2025 at 1:58 PM","2:13 PM","]"
"","","","","[","Thursday, November 13, 2025 at 2:16 PM","Call Sweep","INTC","40","01/21/2028","Call","Ask","1,000","$1.1M","1,163","4,728","a day ago","Thursday, November 13, 2025 at 2:01 PM","2:16 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:17 PM","—","Thursday, November 13, 2025 at 2:17 PM","Call Sweep","NVDA","185","02/20/2026","Call","Ask","988","$1.8M","2,265","11,622","a day ago","Thursday, November 13, 2025 at 2:02 PM","",""
