"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:37 AM","—","Monday, November 17, 2025 at 11:37 AM","Put Sweep","NVDA","185","03/20/2026","Put","Ask","222","$415.1K","265","14,959","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:38 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","710","948","a day ago","11:38 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:39 AM","Put Sweep","HOOD","115","11/28/2025","Put","Ask","1,000","$540K","3,156","1,574","a day ago","11:39 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:40 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","910","948","a day ago","11:40 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:42 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","1,315","948","a day ago","11:42 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:42 AM","Put Sweep","NVS","135","04/17/2026","Put","Ask","475","$408.5K","475","432","a day ago","11:42 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:43 AM","Put Sweep","BRBR","27.5","11/21/2025","Put","Above","1,355","$450.7K","1,371","3,106","a day ago","11:43 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:44 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","1,515","948","a day ago","11:44 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:44 AM","—","Monday, November 17, 2025 at 11:44 AM","Call Sweep","GLD","374","11/21/2025","Call","Ask","1,000","$455K","1,210","2,310","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:44 AM","Put Sweep","GLD","376","11/21/2025","Put","Above","1,443","$743.3K","2,291","2,470","a day ago","11:44 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:45 AM","Call Sweep","HUT","40","11/21/2025","Call","Ask","2,998","$659.6K","5,293","3,335","a day ago","11:45 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:46 AM","Unusual Call Sweep","TSLA","415","12/19/2025","Call","Above","850","$2.5M","6,106","1,178","a day ago","11:46 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:47 AM","Call Sweep","TSLA","440","11/21/2025","Call","Above","1,061","$414K","28,177","19,341","a day ago","11:47 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:49 AM","Call Sweep","TSLA","940","09/18/2026","Call","Ask","599","$886.5K","4,516","17,934","a day ago","11:49 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:53 AM","—","Monday, November 17, 2025 at 11:53 AM","Call Sweep","TSLA","940","09/18/2026","Call","Ask","300","$451.5K","4,934","17,934","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:53 AM","Call Sweep","TSLA","940","09/18/2026","Call","Above","502","$757.5K","5,436","17,934","a day ago","11:53 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:56 AM","Unusual Call Sweep","TSLA","420","11/21/2025","Call","Above","361","$406.2K","75,665","22,235","a day ago","11:56 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:00 PM","—","Monday, November 17, 2025 at 12:00 PM","Unusual Call Sweep","TSLA","417.5","11/28/2025","Call","Ask","239","$407.5K","1,697","476","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 12:03 PM","Unusual Put Sweep","RGTI","28","12/12/2025","Put","Ask","1,455","$683.9K","1,489","67","a day ago","12:03 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:04 PM","Call Sweep","NVDA","210","12/19/2025","Call","Ask","4,000","$1.6M","8,952","40,553","a day ago","12:04 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:04 PM","Put Sweep","NVDA","200","01/16/2026","Put","Ask","242","$497.3K","599","13,256","a day ago","12:04 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:06 PM","Put Sweep","GLD","375","11/21/2025","Put","Ask","1,500","$682.5K","1,874","47,869","a day ago","12:06 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:12 PM","—","Monday, November 17, 2025 at 12:12 PM","Call Sweep","MU","280","03/20/2026","Call","Ask","200","$634K","1,509","900","a day ago","",""
