"separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","loadingOverlay_af017a src","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"—","Wednesday, October 8, 2025 at 2:53 PM","Call Sweep","MSTR","360","10/17/2025","Call","Ask","2,477","$1M","4,663","4,488","a day ago","Wednesday, October 8, 2025 at 2:37 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 2:57 PM","Put Sweep","NVDA","174","12/19/2025","Put","Ask","5,302","$4M","5,357","7,148","a day ago","Wednesday, October 8, 2025 at 2:42 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","2:57 PM","]"
"—","Wednesday, October 8, 2025 at 3:01 PM","Put Sweep","FE","47","01/21/2028","Put","Ask","1,038","$550.1K","1,038","0","a day ago","Wednesday, October 8, 2025 at 2:46 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:02 PM","Call Sweep","XBI","100","10/17/2025","Call","Ask","1,502","$938.7K","10,239","18,196","a day ago","Wednesday, October 8, 2025 at 2:47 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:02 PM","]"
"[","Wednesday, October 8, 2025 at 3:05 PM","Call Sweep","BMNR","65","11/21/2025","Call","Ask","666","$499.5K","8,467","39,248","a day ago","Wednesday, October 8, 2025 at 2:50 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:05 PM","]"
"[","Wednesday, October 8, 2025 at 3:06 PM","Call Sweep","LITE","175","06/18/2026","Call","Ask","150","$505.5K","150","169","a day ago","Wednesday, October 8, 2025 at 2:51 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:06 PM","]"
"—","Wednesday, October 8, 2025 at 3:08 PM","Call Sweep","CLSK","24","03/20/2026","Call","Ask","1,306","$528.9K","1,431","3,687","a day ago","Wednesday, October 8, 2025 at 2:53 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:14 PM","Call Sweep","NVDA","217","01/16/2026","Call","Ask","699","$478.8K","744","2,690","a day ago","Wednesday, October 8, 2025 at 2:59 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:14 PM","]"
"—","Wednesday, October 8, 2025 at 3:17 PM","Call Sweep","SLV","45","10/10/2025","Call","Ask","10,001","$450K","20,894","8,696","a day ago","Wednesday, October 8, 2025 at 3:02 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:18 PM","Put Sweep","GLD","374","10/20/2025","Put","Ask","836","$472.3K","907","0","a day ago","Wednesday, October 8, 2025 at 3:03 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:18 PM","]"
"[","Wednesday, October 8, 2025 at 3:22 PM","Call Sweep","NVDA","160","03/20/2026","Call","Ask","540","$2.2M","618","20,102","a day ago","Wednesday, October 8, 2025 at 3:07 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:22 PM","]"
"[","Wednesday, October 8, 2025 at 3:22 PM","Call Sweep","NVDA","160","01/16/2026","Call","Ask","400","$1.4M","1,527","42,439","a day ago","Wednesday, October 8, 2025 at 3:07 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:22 PM","]"
"[","Wednesday, October 8, 2025 at 3:23 PM","Call Sweep","BITF","5","06/18/2026","Call","Ask","4,316","$694.9K","5,948","10,590","a day ago","Wednesday, October 8, 2025 at 3:08 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:23 PM","]"
"—","Wednesday, October 8, 2025 at 3:26 PM","Unusual Call Sweep","GLD","373","10/22/2025","Call","Ask","1,999","$1.1M","6,699","76","a day ago","Wednesday, October 8, 2025 at 3:11 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:28 PM","Unusual Put Sweep","CVNA","150","01/15/2027","Put","Above","353","$421.2K","1,588","400","a day ago","Wednesday, October 8, 2025 at 3:13 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:28 PM","]"
"—","Wednesday, October 8, 2025 at 3:34 PM","Call Sweep","NVDA","175","11/07/2025","Call","Above","500","$885.1K","1,626","2,341","a day ago","Wednesday, October 8, 2025 at 3:19 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:38 PM","Call Sweep","GLD","370","10/17/2025","Call","Ask","1,472","$927.4K","178,668","197,900","a day ago","Wednesday, October 8, 2025 at 3:23 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:38 PM","]"
"[","Wednesday, October 8, 2025 at 3:41 PM","Call Sweep","AVGO","400","11/21/2025","Call","Ask","750","$423.7K","1,761","6,212","a day ago","Wednesday, October 8, 2025 at 3:26 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:41 PM","]"
"—","Wednesday, October 8, 2025 at 3:42 PM","Call Sweep","GLD","371","10/17/2025","Call","Ask","824","$490.3K","1,938","1,746","a day ago","Wednesday, October 8, 2025 at 3:26 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","",""
"[","Wednesday, October 8, 2025 at 3:44 PM","Call Sweep","AVGO","380","11/21/2025","Call","Ask","430","$410.7K","1,950","4,186","a day ago","Wednesday, October 8, 2025 at 3:29 PM","https://images-ext-1.discordapp.net/external/wyE-ZOXvWMqzyowPCFaXXBylQEz4MeXJtrqBtP47ZjU/https/www.cheddarflow.com/wp-content/uploads/2023/05/option_sweep.png?format=webp&quality=lossless&width=128&height=128","3:44 PM","]"
