"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 12:26 PM","—","Friday, October 10, 2025 at 12:26 PM","Put Sweep","ETSY","70","11/21/2025","Put","Above","700","$437.6K","1,519","1,839","Friday, October 10, 2025 at 12:10 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:27 PM","Call Sweep","NVDA","260","12/18/2026","Call","Ask","247","$411.3K","301","1,709","Friday, October 10, 2025 at 12:12 PM","12:27 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:29 PM","Call Sweep","OSCR","27","01/15/2027","Call","Ask","707","$403K","720","1,050","Friday, October 10, 2025 at 12:14 PM","12:29 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:30 PM","Call Sweep","AMZN","240","01/15/2027","Call","Ask","165","$505.7K","1,125","4,025","Friday, October 10, 2025 at 12:15 PM","12:30 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:31 PM","Put Sweep","AMD","232.5","10/24/2025","Put","Ask","230","$416.3K","1,006","1,176","Friday, October 10, 2025 at 12:16 PM","12:31 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:32 PM","Put Sweep","BABA","140","12/19/2025","Put","Ask","1,394","$662.2K","1,475","4,320","Friday, October 10, 2025 at 12:17 PM","12:32 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 12:37 PM","—","Friday, October 10, 2025 at 12:37 PM","Call Sweep","BABA","190","03/20/2026","Call","Ask","544","$598.4K","613","2,640","Friday, October 10, 2025 at 12:21 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:39 PM","Call Sweep","NVDA","230","12/19/2025","Call","Ask","2,000","$620K","4,798","42,274","Friday, October 10, 2025 at 12:23 PM","12:39 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 12:44 PM","—","Friday, October 10, 2025 at 12:44 PM","Put Sweep","TSLA","350","04/17/2026","Put","Ask","500","$1.6M","973","808","Friday, October 10, 2025 at 12:29 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:46 PM","Put Sweep","SMH","320","12/19/2025","Put","Ask","375","$498.8K","388","1,351","Friday, October 10, 2025 at 12:31 PM","12:46 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:46 PM","Call Sweep","SMH","340","12/19/2025","Call","Ask","345","$622.7K","366","2,083","Friday, October 10, 2025 at 12:31 PM","12:46 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 12:54 PM","—","Friday, October 10, 2025 at 12:54 PM","Call Sweep","PLTR","195","03/20/2026","Call","Ask","200","$499K","201","908","Friday, October 10, 2025 at 12:39 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:58 PM","Put Sweep","PLTR","165","11/21/2025","Put","Ask","549","$496.8K","768","6,482","Friday, October 10, 2025 at 12:43 PM","12:58 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:58 PM","Put Sweep","AMZN","220","10/17/2025","Put","Above","995","$470.1K","10,182","20,655","Friday, October 10, 2025 at 12:43 PM","12:58 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 12:59 PM","Call Sweep","AMD","220","10/17/2025","Call","Ask","531","$406.2K","14,203","9,725","Friday, October 10, 2025 at 12:44 PM","12:59 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:01 PM","Call Sweep","TSLA","420","10/17/2025","Call","Above","455","$609.2K","12,119","6,148","Friday, October 10, 2025 at 12:46 PM","1:01 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:01 PM","—","Friday, October 10, 2025 at 1:01 PM","Call Sweep","NVDA","185","10/17/2025","Call","Ask","2,014","$1.3M","24,299","62,148","Friday, October 10, 2025 at 12:46 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:01 PM","Call Sweep","IREN","70","03/20/2026","Call","Ask","615","$1.2M","1,660","6,713","Friday, October 10, 2025 at 12:46 PM","1:01 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:02 PM","Call Sweep","NVDA","185","10/17/2025","Call","Ask","1,541","$1M","26,488","62,148","Friday, October 10, 2025 at 12:47 PM","1:02 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:06 PM","Call Sweep","TSLA","405","10/24/2025","Call","Above","151","$457K","317","483","Friday, October 10, 2025 at 12:51 PM","1:06 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:07 PM","Call Sweep","AAPL","240","10/17/2025","Call","Ask","712","$658.6K","1,832","27,160","Friday, October 10, 2025 at 12:52 PM","1:07 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:07 PM","Put Sweep","SRPT","25","01/16/2026","Put","Ask","1,088","$750.7K","1,189","1,676","Friday, October 10, 2025 at 12:52 PM","1:07 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:08 PM","Put Sweep","PLTR","170","11/21/2025","Put","Above","382","$438.9K","1,432","7,090","Friday, October 10, 2025 at 12:53 PM","1:08 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:08 PM","—","Friday, October 10, 2025 at 1:08 PM","Call Sweep","NVDA","220","11/21/2025","Call","Ask","2,000","$472K","18,385","43,218","Friday, October 10, 2025 at 12:53 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:10 PM","Put Sweep","PLTR","170","11/21/2025","Put","Ask","573","$667.5K","3,768","7,090","Friday, October 10, 2025 at 12:55 PM","1:10 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:12 PM","Put Sweep","NVDA","180","09/18/2026","Put","Ask","250","$608.8K","672","4,167","Friday, October 10, 2025 at 12:57 PM","1:12 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 1:13 PM","Call Sweep","NVDA","185","10/17/2025","Call","Ask","798","$502.7K","31,741","62,148","Friday, October 10, 2025 at 12:58 PM","1:13 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:15 PM","Call Sweep","TSM","270","11/21/2025","Call","Ask","250","$688.8K","326","4,228","Friday, October 10, 2025 at 1:00 PM","1:15 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:18 PM","—","Friday, October 10, 2025 at 1:18 PM","Put Sweep","MSTR","300","10/24/2025","Put","Ask","374","$501.2K","1,080","5,447","Friday, October 10, 2025 at 1:03 PM","","","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:18 PM","Unusual Put Sweep","SMH","310","03/20/2026","Put","Ask","318","$607.4K","361","85","Friday, October 10, 2025 at 1:03 PM","1:18 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:19 PM","Put Sweep","TSLA","425","10/24/2025","Put","Ask","255","$688.5K","1,039","3,860","Friday, October 10, 2025 at 1:04 PM","1:19 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 1:22 PM","Put Sweep","QCOM","145","11/21/2025","Put","Ask","1,443","$555.6K","1,530","1,435","Friday, October 10, 2025 at 1:07 PM","1:22 PM","]","","","","","","",""
"","","","","[","Friday, October 10, 2025 at 1:24 PM","Put Sweep","PLTR","170","10/17/2025","Put","Ask","1,385","$422.4K","11,929","12,121","Friday, October 10, 2025 at 1:09 PM","1:24 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:26 PM","—","Friday, October 10, 2025 at 1:26 PM","Put Sweep","AAPL","235","11/21/2025","Put","Ask","1,417","$658.9K","2,492","7,482","Friday, October 10, 2025 at 1:11 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 1:30 PM","Call Sweep","TSLA","540","07/17/2026","Call","Ask","150","$758.3K","150","349","Friday, October 10, 2025 at 1:15 PM","1:30 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:33 PM","—","Friday, October 10, 2025 at 1:33 PM","Call Sweep","HOOD","140","11/21/2025","Call","Above","1,000","$1.6M","2,502","11,853","Friday, October 10, 2025 at 1:18 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 1:39 PM","Put Sweep","FUTU","180","12/19/2025","Put","Ask","198","$618.8K","519","1,110","Friday, October 10, 2025 at 1:24 PM","1:39 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:41 PM","—","Friday, October 10, 2025 at 1:41 PM","Call Sweep","NVDA","215","01/16/2026","Call","Ask","569","$423.9K","2,004","25,158","Friday, October 10, 2025 at 1:26 PM","","","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:03 PM","—","Friday, October 10, 2025 at 2:03 PM","Call Sweep","PLTR","175","01/16/2026","Call","Ask","200","$506K","356","3,480","Friday, October 10, 2025 at 1:47 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 2:03 PM","Put Sweep","BIDU","150","01/15/2027","Put","Ask","340","$1.4M","340","2,297","Friday, October 10, 2025 at 1:48 PM","2:03 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:14 PM","—","Friday, October 10, 2025 at 2:14 PM","Call Sweep","SGHC","11","01/16/2026","Call","Ask","2,000","$570K","2,036","31,761","Friday, October 10, 2025 at 1:59 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:22 PM","—","Friday, October 10, 2025 at 2:22 PM","Call Sweep","HOOD","90","12/17/2027","Call","Ask","308","$2.4M","350","9,282","Friday, October 10, 2025 at 2:07 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
