"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:00 AM","—","Monday, October 13, 2025 at 10:00 AM","Put Sweep","WDC","120","10/17/2025","Put","Above","899","$521.9K","6,802","8,488","6 hours ago","Monday, October 13, 2025 at 9:45 AM","",""
"","","","","[","Monday, October 13, 2025 at 10:01 AM","Call Sweep","AMD","235","10/17/2025","Call","Ask","9,766","$2.2M","12,429","8,705","6 hours ago","Monday, October 13, 2025 at 9:46 AM","10:01 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:01 AM","Call Sweep","NVDA","190","03/20/2026","Call","Ask","200","$455K","423","36,963","6 hours ago","Monday, October 13, 2025 at 9:46 AM","10:01 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:03 AM","Call Sweep","ORCL","315","10/17/2025","Call","Above","889","$684.7K","1,238","5,172","6 hours ago","Monday, October 13, 2025 at 9:48 AM","10:03 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:04 AM","Call Sweep","XLY","205","01/16/2026","Call","Ask","315","$1M","403","1,639","6 hours ago","Monday, October 13, 2025 at 9:49 AM","10:04 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:05 AM","Call Sweep","AVGO","335","10/17/2025","Call","Above","200","$463.9K","423","2,369","6 hours ago","Monday, October 13, 2025 at 9:50 AM","10:05 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:06 AM","Call Sweep","BE","100","10/17/2025","Call","Above","531","$499.2K","1,819","5,050","6 hours ago","Monday, October 13, 2025 at 9:50 AM","10:06 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:06 AM","Call Sweep","SMH","327.5","10/24/2025","Call","Ask","273","$430K","290","148","6 hours ago","Monday, October 13, 2025 at 9:51 AM","10:06 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:07 AM","—","Monday, October 13, 2025 at 10:07 AM","Highly Unusual Put Sweep","SOFI","25","10/31/2025","Put","Ask","9,603","$1.2M","9,755","19,704","6 hours ago","Monday, October 13, 2025 at 9:52 AM","",""
"","","","","[","Monday, October 13, 2025 at 10:08 AM","Call Sweep","NVDA","190","11/21/2025","Call","Ask","500","$585K","2,162","38,516","6 hours ago","Monday, October 13, 2025 at 9:53 AM","10:08 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:09 AM","Call Sweep","NVDA","200","01/16/2026","Call","Ask","999","$1.2M","4,016","71,113","6 hours ago","Monday, October 13, 2025 at 9:54 AM","10:09 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:10 AM","Call Sweep","APLD","20","03/20/2026","Call","Ask","200","$410K","205","2,350","6 hours ago","Monday, October 13, 2025 at 9:55 AM","10:10 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:13 AM","Call Sweep","TSM","305","10/24/2025","Call","Ask","761","$639.2K","854","720","6 hours ago","Monday, October 13, 2025 at 9:58 AM","10:13 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:13 AM","Call Sweep","USAR","55","12/19/2025","Call","Ask","500","$400K","602","0","6 hours ago","Monday, October 13, 2025 at 9:58 AM","10:13 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Call Sweep","NVDA","185","12/19/2025","Call","Ask","526","$917.9K","988","29,790","6 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Call Sweep","QS","10","01/16/2026","Call","Above","1,212","$957.5K","1,559","23,084","6 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Put Sweep","SMCI","60","12/19/2025","Put","Ask","2,122","$2.1M","2,133","722","6 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:15 AM","—","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","216","12/19/2025","Call","Ask","1,387","$714.3K","1,499","2,317","6 hours ago","Monday, October 13, 2025 at 10:00 AM","",""
"","","","","[","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","200","12/19/2025","Call","Ask","483","$495.1K","1,499","62,066","6 hours ago","Monday, October 13, 2025 at 10:00 AM","10:15 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","200","12/19/2025","Call","Ask","1,000","$1M","2,500","62,066","6 hours ago","Monday, October 13, 2025 at 10:00 AM","10:15 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:16 AM","Call Sweep","OKLO","155","01/16/2026","Call","Ask","200","$950K","1,724","3,020","6 hours ago","Monday, October 13, 2025 at 10:01 AM","10:16 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:16 AM","Call Sweep","NVDA","190","11/21/2025","Call","Ask","346","$415.2K","2,891","38,516","6 hours ago","Monday, October 13, 2025 at 10:01 AM","10:16 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:17 AM","Call Sweep","URNM","50","01/16/2026","Call","Ask","256","$409.6K","1,567","11,811","6 hours ago","Monday, October 13, 2025 at 10:02 AM","10:17 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:18 AM","Call Sweep","TSM","310","01/16/2026","Call","Ask","204","$479.4K","1,272","2,949","6 hours ago","Monday, October 13, 2025 at 10:03 AM","10:18 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:19 AM","Call Sweep","VST","230","12/19/2025","Call","Above","515","$626.3K","515","1,794","6 hours ago","Monday, October 13, 2025 at 10:04 AM","10:19 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:19 AM","Unusual Put Sweep","OKLO","170","10/31/2025","Put","Ask","233","$445K","526","4","5 hours ago","Monday, October 13, 2025 at 10:04 AM","10:19 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:21 AM","Call Sweep","MP","120","02/20/2026","Call","Ask","494","$736.1K","509","573","5 hours ago","Monday, October 13, 2025 at 10:06 AM","10:21 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:22 AM","—","Monday, October 13, 2025 at 10:22 AM","Call Sweep","NVDA","195","11/21/2025","Call","Ask","1,000","$950K","3,346","24,779","5 hours ago","Monday, October 13, 2025 at 10:07 AM","",""
"","","","","[","Monday, October 13, 2025 at 10:22 AM","Put Sweep","GOOGL","245","01/16/2026","Put","Ask","256","$431.4K","294","3,649","5 hours ago","Monday, October 13, 2025 at 10:07 AM","10:22 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:23 AM","Call Sweep","PPTA","35","08/21/2026","Call","Above","951","$685.1K","964","985","5 hours ago","Monday, October 13, 2025 at 10:08 AM","10:23 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:23 AM","Call Sweep","TSM","300","10/31/2025","Call","Ask","291","$407.4K","634","1,498","5 hours ago","Monday, October 13, 2025 at 10:08 AM","10:23 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:25 AM","Call Sweep","ETHA","35","01/16/2026","Call","Ask","3,020","$1.2M","3,995","25,211","5 hours ago","Monday, October 13, 2025 at 10:10 AM","10:25 AM","]"
"","","","","[","Monday, October 13, 2025 at 10:28 AM","Call Sweep","MP","110","12/19/2025","Call","Ask","404","$480.8K","456","620","5 hours ago","Monday, October 13, 2025 at 10:13 AM","10:28 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:31 AM","—","Monday, October 13, 2025 at 10:31 AM","Put Sweep","INTC","30","12/19/2025","Put","Ask","4,855","$534.1K","6,251","24,636","5 hours ago","Monday, October 13, 2025 at 10:16 AM","",""
"","","","","[","Monday, October 13, 2025 at 10:35 AM","Put Sweep","TSLA","400","10/31/2025","Put","Ask","1,468","$2M","3,794","4,628","5 hours ago","Monday, October 13, 2025 at 10:20 AM","10:35 AM","]"
