"latin24CompactTimeStamp_c19a55","separator_c19a55","separator_c19a55 2","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"1:19 PM","[","]","Friday, October 10, 2025 at 1:19 PM","Put Sweep","TSLA","425","10/24/2025","Put","Ask","255","$688.5K","1,039","3,860","3 days ago","Friday, October 10, 2025 at 1:04 PM","","","","","","","","","","",""
"1:22 PM","[","]","Friday, October 10, 2025 at 1:22 PM","Put Sweep","QCOM","145","11/21/2025","Put","Ask","1,443","$555.6K","1,530","1,435","3 days ago","Friday, October 10, 2025 at 1:07 PM","","","","","","","","","","",""
"1:24 PM","[","]","Friday, October 10, 2025 at 1:24 PM","Put Sweep","PLTR","170","10/17/2025","Put","Ask","1,385","$422.4K","11,929","12,121","3 days ago","Friday, October 10, 2025 at 1:09 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 1:26 PM","Put Sweep","AAPL","235","11/21/2025","Put","Ask","1,417","$658.9K","2,492","7,482","3 days ago","Friday, October 10, 2025 at 1:11 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:26 PM","","","","","","",""
"1:30 PM","[","]","Friday, October 10, 2025 at 1:30 PM","Call Sweep","TSLA","540","07/17/2026","Call","Ask","150","$758.3K","150","349","3 days ago","Friday, October 10, 2025 at 1:15 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 1:33 PM","Call Sweep","HOOD","140","11/21/2025","Call","Above","1,000","$1.6M","2,502","11,853","3 days ago","Friday, October 10, 2025 at 1:18 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:33 PM","","","","","","",""
"1:39 PM","[","]","Friday, October 10, 2025 at 1:39 PM","Put Sweep","FUTU","180","12/19/2025","Put","Ask","198","$618.8K","519","1,110","3 days ago","Friday, October 10, 2025 at 1:24 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 1:41 PM","Call Sweep","NVDA","215","01/16/2026","Call","Ask","569","$423.9K","2,004","25,158","3 days ago","Friday, October 10, 2025 at 1:26 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 1:41 PM","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:03 PM","Call Sweep","PLTR","175","01/16/2026","Call","Ask","200","$506K","356","3,480","3 days ago","Friday, October 10, 2025 at 1:47 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:03 PM","","","","","","",""
"2:03 PM","[","]","Friday, October 10, 2025 at 2:03 PM","Put Sweep","BIDU","150","01/15/2027","Put","Ask","340","$1.4M","340","2,297","3 days ago","Friday, October 10, 2025 at 1:48 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:14 PM","Call Sweep","SGHC","11","01/16/2026","Call","Ask","2,000","$570K","2,036","31,761","3 days ago","Friday, October 10, 2025 at 1:59 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:14 PM","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:22 PM","Call Sweep","HOOD","90","12/17/2027","Call","Ask","308","$2.4M","350","9,282","3 days ago","Friday, October 10, 2025 at 2:07 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:22 PM","","","","","","",""
"2:23 PM","[","]","Friday, October 10, 2025 at 2:23 PM","Put Sweep","TLT","92","12/19/2025","Put","Ask","1,554","$481.7K","1,561","1,418","3 days ago","Friday, October 10, 2025 at 2:08 PM","","","","","","","","","","",""
"2:28 PM","[","]","Friday, October 10, 2025 at 2:28 PM","Put Sweep","NVDA","170","11/21/2025","Put","Ask","780","$432.9K","6,141","43,533","3 days ago","Friday, October 10, 2025 at 2:12 PM","","","","","","","","","","",""
"2:28 PM","[","]","Friday, October 10, 2025 at 2:28 PM","Call Sweep","SLV","46","03/20/2026","Call","Ask","1,500","$480K","1,656","10,991","3 days ago","Friday, October 10, 2025 at 2:13 PM","","","","","","","","","","",""
"2:28 PM","[","]","Friday, October 10, 2025 at 2:28 PM","Call Sweep","AAPL","220","12/19/2025","Call","Ask","501","$1.6M","727","18,768","3 days ago","Friday, October 10, 2025 at 2:13 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:35 PM","Call Sweep","NVDA","223","01/16/2026","Call","Ask","922","$497.9K","1,045","1,321","3 days ago","Friday, October 10, 2025 at 2:20 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:35 PM","","","","","","",""
"2:37 PM","[","]","Friday, October 10, 2025 at 2:37 PM","Put Sweep","FUTU","110","05/15/2026","Put","Ask","595","$413.5K","680","0","3 days ago","Friday, October 10, 2025 at 2:21 PM","","","","","","","","","","",""
"2:38 PM","[","]","Friday, October 10, 2025 at 2:38 PM","Call Sweep","NVDA","225","01/16/2026","Call","Ask","999","$514.5K","6,123","11,964","3 days ago","Friday, October 10, 2025 at 2:22 PM","","","","","","","","","","",""
"2:39 PM","[","]","Friday, October 10, 2025 at 2:39 PM","Put Sweep","TSM","285","10/17/2025","Put","Ask","447","$411.2K","3,249","1,145","3 days ago","Friday, October 10, 2025 at 2:24 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:46 PM","Highly Unusual Put Sweep","ETHA","30","10/24/2025","Put","Above","5,020","$667.1K","10,334","989","3 days ago","Friday, October 10, 2025 at 2:31 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:46 PM","","","","","","",""
"","—","","Friday, October 10, 2025 at 2:55 PM","Call Sweep","CRDO","170","01/15/2027","Call","Ask","150","$687K","151","54","3 days ago","Friday, October 10, 2025 at 2:40 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 2:55 PM","","","","","","",""
"2:55 PM","[","]","Friday, October 10, 2025 at 2:55 PM","Put Sweep","AAPL","250","10/31/2025","Put","Ask","440","$402.6K","2,224","3,162","3 days ago","Friday, October 10, 2025 at 2:40 PM","","","","","","","","","","",""
"","—","","Friday, October 10, 2025 at 3:04 PM","Call Sweep","AMZN","235","12/19/2025","Call","Ask","1,000","$845K","4,272","36,635","3 days ago","Friday, October 10, 2025 at 2:48 PM","https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 3:04 PM","","","","","","",""
"3:04 PM","[","]","Friday, October 10, 2025 at 3:04 PM","Call Sweep","AMZN","235","12/19/2025","Call","Above","1,000","$846K","5,362","36,635","3 days ago","Friday, October 10, 2025 at 2:49 PM","","","","","","","","","","",""
"3:06 PM","[","]","Friday, October 10, 2025 at 3:06 PM","Put Sweep","ARKK","85","11/21/2025","Put","Above","4,051","$2.3M","4,611","14,460","3 days ago","Friday, October 10, 2025 at 2:51 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"3:09 PM","[","]","Friday, October 10, 2025 at 3:09 PM","Unusual Call Sweep","TSLA","425","10/17/2025","Call","Ask","653","$597.5K","14,476","3,811","3 days ago","Friday, October 10, 2025 at 2:53 PM","","","","","","","","","","",""
"3:09 PM","[","]","Friday, October 10, 2025 at 3:09 PM","Put Sweep","TSLA","340","01/16/2026","Put","Ask","501","$834.2K","1,172","4,877","3 days ago","Friday, October 10, 2025 at 2:53 PM","","","","","","","","","","",""
"3:09 PM","[","]","Friday, October 10, 2025 at 3:09 PM","Put Sweep","TSLA","380","11/21/2025","Put","Ask","488","$846.7K","1,038","6,260","3 days ago","Friday, October 10, 2025 at 2:54 PM","","","","","","","","","","",""
"3:09 PM","[","]","Friday, October 10, 2025 at 3:09 PM","Call Sweep","TSLA","430","01/16/2026","Call","Ask","161","$726.9K","3,370","4,648","3 days ago","Friday, October 10, 2025 at 2:54 PM","","","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
