"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:01 PM","—","Monday, October 27, 2025 at 3:01 PM","Call Sweep","HUT","50","11/21/2025","Call","Ask","612","$449.8K","897","6,753","a day ago","Monday, October 27, 2025 at 2:46 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:02 PM","Call Sweep","COIN","370","11/21/2025","Call","Above","500","$1.4M","6,711","10,212","a day ago","Monday, October 27, 2025 at 2:47 PM","3:02 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:04 PM","Call Sweep","TSLA","500","01/16/2026","Call","Ask","165","$521.4K","10,122","42,382","a day ago","Monday, October 27, 2025 at 2:49 PM","3:04 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:06 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","1,127","$450.8K","112,991","39,059","a day ago","Monday, October 27, 2025 at 2:50 PM","3:06 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:10 PM","—","Monday, October 27, 2025 at 3:10 PM","Call Sweep","NBIS","140","01/16/2026","Call","Ask","450","$837K","1,576","2,777","a day ago","Monday, October 27, 2025 at 2:54 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:11 PM","Unusual Put Sweep","SMH","347.5","10/31/2025","Put","Ask","1,569","$414.2K","1,725","346","a day ago","Monday, October 27, 2025 at 2:56 PM","3:11 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:12 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Above","1,024","$416.1K","116,509","39,059","a day ago","Monday, October 27, 2025 at 2:57 PM","3:12 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:12 PM","Call Sweep","NBIS","140","01/16/2026","Call","Ask","450","$846K","3,392","2,777","a day ago","Monday, October 27, 2025 at 2:57 PM","3:12 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:13 PM","Call Sweep","GOOGL","280","01/16/2026","Call","Ask","283","$406.1K","2,236","54,415","a day ago","Monday, October 27, 2025 at 2:58 PM","3:13 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:15 PM","Unusual Call Sweep","AMD","260","10/31/2025","Call","Above","1,156","$785K","49,625","12,525","a day ago","Monday, October 27, 2025 at 3:00 PM","3:15 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:16 PM","Call Sweep","AAPL","265","10/31/2025","Call","Ask","800","$484K","14,199","18,846","a day ago","Monday, October 27, 2025 at 3:01 PM","3:16 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:17 PM","—","Monday, October 27, 2025 at 3:17 PM","Call Sweep","NVDA","190","11/07/2025","Call","Above","998","$680.3K","24,481","26,079","a day ago","Monday, October 27, 2025 at 3:02 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:18 PM","Unusual Put Sweep","UNH","365","11/14/2025","Put","Ask","319","$448.2K","370","92","a day ago","Monday, October 27, 2025 at 3:03 PM","3:18 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:19 PM","Unusual Put Sweep","TSLA","455","10/31/2025","Put","Ask","756","$846.7K","32,572","898","a day ago","Monday, October 27, 2025 at 3:04 PM","3:19 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:21 PM","Call Sweep","GOOGL","267.5","10/31/2025","Call","Above","450","$432.6K","4,875","4,880","a day ago","Monday, October 27, 2025 at 3:06 PM","3:21 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:23 PM","Call Sweep","AAPL","262.5","10/31/2025","Call","Ask","601","$462.8K","7,034","27,081","a day ago","Monday, October 27, 2025 at 3:08 PM","3:23 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:24 PM","Call Sweep","PDD","138","11/28/2025","Call","Ask","9,672","$6.3M","24,050","22,741","a day ago","Monday, October 27, 2025 at 3:09 PM","3:24 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:25 PM","—","Monday, October 27, 2025 at 3:25 PM","Call Sweep","UNH","380","10/31/2025","Call","Above","772","$459.5K","4,338","2,387","a day ago","Monday, October 27, 2025 at 3:09 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:26 PM","Call Sweep","COIN","367.5","10/31/2025","Call","Ask","249","$423.3K","1,215","21,940","a day ago","Monday, October 27, 2025 at 3:10 PM","3:26 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:26 PM","Call Sweep","BABA","200","12/19/2025","Call","Ask","771","$555.1K","2,953","11,213","a day ago","Monday, October 27, 2025 at 3:11 PM","3:26 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:35 PM","—","Monday, October 27, 2025 at 3:35 PM","Call Sweep","TSLA","500","12/19/2025","Call","Ask","320","$635.2K","12,455","39,783","a day ago","Monday, October 27, 2025 at 3:19 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:37 PM","Unusual Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","1,099","$428.6K","126,863","39,059","a day ago","Monday, October 27, 2025 at 3:22 PM","3:37 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:37 PM","Unusual Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","1,059","$413K","127,952","39,059","a day ago","Monday, October 27, 2025 at 3:22 PM","3:37 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:38 PM","Put Sweep","AVGO","280","01/15/2027","Put","Ask","200","$616K","204","378","a day ago","Monday, October 27, 2025 at 3:23 PM","3:38 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:40 PM","Call Sweep","NVDA","190","10/31/2025","Call","Above","1,448","$746.2K","167,065","143,579","a day ago","Monday, October 27, 2025 at 3:25 PM","3:40 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:43 PM","—","Monday, October 27, 2025 at 3:43 PM","Unusual Call Sweep","NVDA","192.5","10/31/2025","Call","Above","1,012","$412.3K","130,731","39,059","a day ago","Monday, October 27, 2025 at 3:28 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:44 PM","Unusual Put Sweep","TSLA","450","11/07/2025","Put","Above","1,893","$3.5M","11,861","740","a day ago","Monday, October 27, 2025 at 3:28 PM","3:44 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:48 PM","Unusual Call Sweep","AAPL","267.5","11/07/2025","Call","Ask","1,004","$647.6K","28,908","1,403","a day ago","Monday, October 27, 2025 at 3:33 PM","3:48 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:48 PM","Unusual Call Sweep","TSLA","470","10/31/2025","Call","Above","2,213","$872.2K","58,430","18,101","a day ago","Monday, October 27, 2025 at 3:33 PM","3:48 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:49 PM","Call Sweep","GOOGL","280","01/16/2026","Call","Ask","615","$857.9K","2,898","54,415","a day ago","Monday, October 27, 2025 at 3:34 PM","3:49 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:52 PM","—","Monday, October 27, 2025 at 3:52 PM","Unusual Call Sweep","TSLA","450","10/31/2025","Call","Above","374","$416.1K","94,330","22,518","a day ago","Monday, October 27, 2025 at 3:37 PM","","","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:56 PM","Call Sweep","HOOD","147","10/31/2025","Call","Ask","1,000","$425K","4,435","4,430","a day ago","Monday, October 27, 2025 at 3:40 PM","3:56 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:56 PM","Unusual Call Sweep","NVDA","192.5","10/31/2025","Call","Above","1,034","$409.9K","135,216","39,059","a day ago","Monday, October 27, 2025 at 3:41 PM","3:56 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 3:56 PM","Call Sweep","PLTR","190","10/31/2025","Call","Above","1,008","$450.1K","30,355","22,896","a day ago","Monday, October 27, 2025 at 3:41 PM","3:56 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:59 PM","—","Monday, October 27, 2025 at 3:59 PM","Call Sweep","GOOGL","270","12/19/2025","Call","Above","1,623","$2.5M","3,378","8,522","a day ago","Monday, October 27, 2025 at 3:44 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 27, 2025 at 4:02 PM","Unusual Call Sweep","CORZ","26","12/19/2025","Call","Ask","3,000","$438K","3,003","404","a day ago","Monday, October 27, 2025 at 3:47 PM","4:02 PM","]","","","","","","",""
"","","","","[","Monday, October 27, 2025 at 4:05 PM","Call Sweep","NVDA","190","10/31/2025","Call","Above","1,281","$704.2K","172,289","143,579","a day ago","Monday, October 27, 2025 at 3:49 PM","4:05 PM","]","","","","","","",""
