"separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"—","Wednesday, October 29, 2025 at 2:52 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","192","$497.3K","2,621","539","21 hours ago","Wednesday, October 29, 2025 at 2:37 PM","",""
"[","Wednesday, October 29, 2025 at 2:52 PM","Call Sweep","GOOG","290","11/07/2025","Call","Ask","1,301","$526.9K","8,658","16,159","21 hours ago","Wednesday, October 29, 2025 at 2:37 PM","2:52 PM","]"
"[","Wednesday, October 29, 2025 at 2:53 PM","Call Sweep","GOOGL","260","10/31/2025","Call","Ask","300","$472.5K","1,397","12,348","21 hours ago","Wednesday, October 29, 2025 at 2:38 PM","2:53 PM","]"
"[","Wednesday, October 29, 2025 at 2:53 PM","Call Sweep","IREN","70","11/07/2025","Call","Ask","1,757","$456.8K","3,579","4,709","21 hours ago","Wednesday, October 29, 2025 at 2:38 PM","2:53 PM","]"
"[","Wednesday, October 29, 2025 at 2:55 PM","Call Sweep","GOOG","285","10/31/2025","Call","Ask","987","$404.7K","21,128","21,560","21 hours ago","Wednesday, October 29, 2025 at 2:40 PM","2:55 PM","]"
"[","Wednesday, October 29, 2025 at 2:55 PM","Call Sweep","BE","150","11/21/2025","Call","Ask","440","$572K","1,490","4,364","21 hours ago","Wednesday, October 29, 2025 at 2:40 PM","2:55 PM","]"
"[","Wednesday, October 29, 2025 at 2:57 PM","Call Sweep","XLY","240","12/19/2025","Call","Above","556","$422.6K","558","1,945","21 hours ago","Wednesday, October 29, 2025 at 2:42 PM","2:57 PM","]"
"[","Wednesday, October 29, 2025 at 2:59 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","962","$1.4M","56,370","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:44 PM","2:59 PM","]"
"[","Wednesday, October 29, 2025 at 2:59 PM","Call Sweep","NVDA","195","10/31/2025","Call","Ask","354","$439K","56,867","86,920","21 hours ago","Wednesday, October 29, 2025 at 2:44 PM","2:59 PM","]"
"—","Wednesday, October 29, 2025 at 2:59 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","871","$1.3M","57,241","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:44 PM","",""
"[","Wednesday, October 29, 2025 at 2:59 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","476","$685.4K","57,717","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:44 PM","2:59 PM","]"
"[","Wednesday, October 29, 2025 at 2:59 PM","Call Sweep","NVDA","195","10/31/2025","Call","Above","480","$588K","57,460","86,920","21 hours ago","Wednesday, October 29, 2025 at 2:44 PM","2:59 PM","]"
"[","Wednesday, October 29, 2025 at 3:00 PM","Call Sweep","NVDA","195","10/31/2025","Call","Ask","670","$830.8K","58,215","86,920","21 hours ago","Wednesday, October 29, 2025 at 2:45 PM","3:00 PM","]"
"[","Wednesday, October 29, 2025 at 3:00 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Above","371","$981.8K","3,964","539","21 hours ago","Wednesday, October 29, 2025 at 2:45 PM","3:00 PM","]"
"[","Wednesday, October 29, 2025 at 3:05 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","509","$1.4M","5,900","8,981","21 hours ago","Wednesday, October 29, 2025 at 2:50 PM","3:05 PM","]"
"—","Wednesday, October 29, 2025 at 3:08 PM","Call Sweep","NVDA","230","01/16/2026","Call","Ask","821","$751.2K","15,926","24,971","21 hours ago","Wednesday, October 29, 2025 at 2:52 PM","",""
"[","Wednesday, October 29, 2025 at 3:09 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","942","$1.5M","59,132","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:54 PM","3:09 PM","]"
"[","Wednesday, October 29, 2025 at 3:09 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","504","$776.2K","59,636","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:54 PM","3:09 PM","]"
"[","Wednesday, October 29, 2025 at 3:09 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","998","$1.5M","60,634","57,159","21 hours ago","Wednesday, October 29, 2025 at 2:54 PM","3:09 PM","]"
"[","Wednesday, October 29, 2025 at 3:09 PM","Call Sweep","NVDA","195","10/31/2025","Call","Ask","1,007","$1.3M","61,277","86,920","21 hours ago","Wednesday, October 29, 2025 at 2:54 PM","3:09 PM","]"
"[","Wednesday, October 29, 2025 at 3:10 PM","Call Sweep","NVDA","195","10/31/2025","Call","Ask","470","$634.5K","61,784","86,920","21 hours ago","Wednesday, October 29, 2025 at 2:55 PM","3:10 PM","]"
"[","Wednesday, October 29, 2025 at 3:11 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","161","$444.4K","4,847","539","21 hours ago","Wednesday, October 29, 2025 at 2:55 PM","3:11 PM","]"
"—","Wednesday, October 29, 2025 at 3:15 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","450","$1.3M","6,353","8,981","21 hours ago","Wednesday, October 29, 2025 at 3:00 PM","",""
"[","Wednesday, October 29, 2025 at 3:17 PM","Unusual Call Sweep","CRWV","140","02/20/2026","Call","Ask","449","$1.2M","6,118","539","21 hours ago","Wednesday, October 29, 2025 at 3:02 PM","3:17 PM","]"
"[","Wednesday, October 29, 2025 at 3:20 PM","Call Sweep","NVDA","195","10/31/2025","Call","Above","1,412","$1.7M","63,847","86,920","21 hours ago","Wednesday, October 29, 2025 at 3:05 PM","3:20 PM","]"
"[","Wednesday, October 29, 2025 at 3:20 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","912","$1.3M","62,108","57,159","21 hours ago","Wednesday, October 29, 2025 at 3:05 PM","3:20 PM","]"
"[","Wednesday, October 29, 2025 at 3:20 PM","Call Sweep","NVDA","192.5","10/31/2025","Call","Ask","1,401","$2M","63,509","57,159","21 hours ago","Wednesday, October 29, 2025 at 3:05 PM","3:20 PM","]"
"—","Wednesday, October 29, 2025 at 3:22 PM","Put Sweep","NVDA","180","03/20/2026","Put","Ask","521","$549.7K","3,606","19,429","21 hours ago","Wednesday, October 29, 2025 at 3:06 PM","",""
"[","Wednesday, October 29, 2025 at 3:22 PM","Call Sweep","NVDA","230","11/21/2025","Call","Ask","1,752","$674.5K","12,959","19,320","21 hours ago","Wednesday, October 29, 2025 at 3:07 PM","3:22 PM","]"
"[","Wednesday, October 29, 2025 at 3:25 PM","Put Sweep","NVDA","180","03/20/2026","Put","Ask","454","$485.8K","11,630","19,429","21 hours ago","Wednesday, October 29, 2025 at 3:10 PM","3:25 PM","]"
"[","Wednesday, October 29, 2025 at 3:26 PM","Call Sweep","AVGO","355","10/31/2025","Call","Ask","456","$1.3M","7,079","8,981","21 hours ago","Wednesday, October 29, 2025 at 3:11 PM","3:26 PM","]"
"[","Wednesday, October 29, 2025 at 3:26 PM","Call Sweep","TSLA","580","06/18/2026","Call","Ask","285","$1.5M","301","2,087","21 hours ago","Wednesday, October 29, 2025 at 3:11 PM","3:26 PM","]"
