ticker,strike,expiry,optionType,volume,premium,openInterest,bidAskSpread,timestamp,sweepType,sourceFile
META,800,12/19/2025,Call,500,$1.3M,1586,0,"Thursday, October 9, 2025 at 3:53 PM",Call Sweep,options_data_2024-01-15_02-30.csv
AMZN,260,12/17/2027,Call,178,$691.5K,241,0,"Thursday, October 9, 2025 at 4:01 PM",Call Sweep,options_data_2024-01-15_02-30.csv
PLTR,220,01/16/2026,Call,1000,$1.2M,1606,0,"Thursday, October 9, 2025 at 4:02 PM",Call Sweep,options_data_2024-01-15_02-30.csv
BABA,185,02/20/2026,Call,389,$608.8K,500,0,"Thursday, October 9, 2025 at 4:03 PM",Call Sweep,options_data_2024-01-15_02-30.csv
ETHA,34,11/21/2025,Call,3000,$877.5K,6736,0,"Thursday, October 9, 2025 at 4:14 PM",Call Sweep,options_data_2024-01-15_02-30.csv
ETHA,34,11/21/2025,Call,2225,$665.5K,8961,0,"Thursday, October 9, 2025 at 4:14 PM",Call Sweep,options_data_2024-01-15_02-30.csv
INTC,40,01/15/2027,Call,502,$451.8K,3849,0,"Thursday, October 9, 2025 at 4:15 PM",Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,200,01/16/2026,Call,474,$679.1K,741,0,"Friday, October 10, 2025 at 9:45 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AMD,260,11/21/2025,Call,501,$594.9K,518,0,"Friday, October 10, 2025 at 9:46 AM",Call Sweep,options_data_2024-01-15_02-30.csv
MARA,22,01/16/2026,Call,1000,$400K,1006,0,"Friday, October 10, 2025 at 9:47 AM",Call Sweep,options_data_2024-01-15_02-30.csv
INTC,40,01/15/2027,Call,592,$592K,642,0,"Friday, October 10, 2025 at 9:48 AM",Call Sweep,options_data_2024-01-15_02-30.csv
PGY,35,02/20/2026,Call,998,$588.8K,2001,0,"Friday, October 10, 2025 at 9:50 AM",Call Sweep,options_data_2024-01-15_02-30.csv
SLV,45,12/19/2025,Put,1433,$458.6K,1451,0,"Friday, October 10, 2025 at 9:51 AM",Put Sweep,options_data_2024-01-15_02-30.csv
CRWV,145,11/21/2025,Call,275,$584.4K,386,0,"Friday, October 10, 2025 at 9:52 AM",Call Sweep,options_data_2024-01-15_02-30.csv
GOOGL,260,12/19/2025,Call,500,$457.5K,1065,0,"Friday, October 10, 2025 at 9:52 AM",Call Sweep,options_data_2024-01-15_02-30.csv
TSLA,500,11/21/2025,Call,1003,$1.6M,3000,0,"Friday, October 10, 2025 at 9:54 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AMD,250,01/16/2026,Call,416,$857K,751,0,"Friday, October 10, 2025 at 9:54 AM",Call Sweep,options_data_2024-01-15_02-30.csv
PDD,130,04/17/2026,Put,390,$448.5K,2790,0,"Friday, October 10, 2025 at 9:56 AM",Put Sweep,options_data_2024-01-15_02-30.csv
WULF,27,06/18/2026,Call,4003,$944.7K,4326,0,"Friday, October 10, 2025 at 9:57 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AVGO,380,11/21/2025,Call,500,$492.5K,540,0,"Friday, October 10, 2025 at 9:57 AM",Call Sweep,options_data_2024-01-15_02-30.csv
CRWV,130,08/21/2026,Call,1173,$6.7M,1180,0,"Friday, October 10, 2025 at 9:57 AM",Call Sweep,options_data_2024-01-15_02-30.csv
VRT,180,11/21/2025,Call,400,$660K,1384,0,"Friday, October 10, 2025 at 9:59 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AMD,260,11/21/2025,Call,750,$720K,1939,0,"Friday, October 10, 2025 at 10:00 AM",Call Sweep,options_data_2024-01-15_02-30.csv
W,70,01/16/2026,Call,364,$527.8K,533,0,"Friday, October 10, 2025 at 10:02 AM",Call Sweep,options_data_2024-01-15_02-30.csv
W,70,01/16/2026,Call,418,$597.7K,951,0,"Friday, October 10, 2025 at 10:03 AM",Call Sweep,options_data_2024-01-15_02-30.csv
W,70,01/16/2026,Call,825,$1.2M,2010,0,"Friday, October 10, 2025 at 10:03 AM",Unusual Call Sweep,options_data_2024-01-15_02-30.csv
CSCO,75,11/21/2025,Call,4633,$617K,4664,0,"Friday, October 10, 2025 at 10:07 AM",Call Sweep,options_data_2024-01-15_02-30.csv
B,29,01/16/2026,Call,1018,$546.1K,2001,0,"Friday, October 10, 2025 at 10:08 AM",Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,190,11/21/2025,Call,363,$508.2K,733,0,"Friday, October 10, 2025 at 10:10 AM",Call Sweep,options_data_2024-01-15_02-30.csv
CSCO,75,11/21/2025,Call,4501,$607.6K,14645,0,"Friday, October 10, 2025 at 10:10 AM",Call Sweep,options_data_2024-01-15_02-30.csv
TSLA,350,12/17/2027,Put,200,$1.5M,200,0,"Friday, October 10, 2025 at 10:12 AM",Put Sweep,options_data_2024-01-15_02-30.csv
APLD,30,12/19/2025,Call,400,$488K,753,0,"Friday, October 10, 2025 at 10:14 AM",Call Sweep,options_data_2024-01-15_02-30.csv
APLD,30,12/19/2025,Call,550,$671K,1353,0,"Friday, October 10, 2025 at 10:14 AM",Call Sweep,options_data_2024-01-15_02-30.csv
TSLA,350,12/17/2027,Put,171,$1.3M,400,0,"Friday, October 10, 2025 at 10:16 AM",Put Sweep,options_data_2024-01-15_02-30.csv
GLD,375,09/18/2026,Put,200,$524K,200,0,"Friday, October 10, 2025 at 10:18 AM",Put Sweep,options_data_2024-01-15_02-30.csv
QBTS,38,12/19/2025,Call,1100,$693.5K,1613,0,"Friday, October 10, 2025 at 10:20 AM",Call Sweep,options_data_2024-01-15_02-30.csv
CRCL,220,01/16/2026,Call,643,$788.3K,698,0,"Friday, October 10, 2025 at 10:21 AM",Call Sweep,options_data_2024-01-15_02-30.csv
GLD,365,02/20/2026,Put,682,$913.9K,689,0,"Friday, October 10, 2025 at 10:28 AM",Put Sweep,options_data_2024-01-15_02-30.csv
GLD,375,02/20/2026,Call,300,$423.3K,313,0,"Friday, October 10, 2025 at 10:29 AM",Call Sweep,options_data_2024-01-15_02-30.csv
SLV,44.5,11/21/2025,Put,2255,$486.6K,2377,0,"Friday, October 10, 2025 at 10:36 AM",Put Sweep,options_data_2024-01-15_02-30.csv
C,60,01/21/2028,Call,200,$850K,200,0,"Friday, October 10, 2025 at 10:43 AM",Unusual Call Sweep,options_data_2024-01-15_02-30.csv
IBIT,70,05/15/2026,Call,494,$560.7K,710,0,"Friday, October 10, 2025 at 10:45 AM",Call Sweep,options_data_2024-01-15_02-30.csv
BE,70,01/16/2026,Call,278,$861.8K,333,0,"Friday, October 10, 2025 at 10:48 AM",Call Sweep,options_data_2024-01-15_02-30.csv
NVTS,5,01/15/2027,Call,1006,$543.2K,1218,0,"Friday, October 10, 2025 at 10:49 AM",Call Sweep,options_data_2024-01-15_02-30.csv
OKLO,220,11/21/2025,Call,500,$542.4K,673,0,"Friday, October 10, 2025 at 10:51 AM",Unusual Call Sweep,options_data_2024-01-15_02-30.csv
URNM,50,01/16/2026,Call,369,$553.5K,723,0,"Friday, October 10, 2025 at 10:52 AM",Call Sweep,options_data_2024-01-15_02-30.csv
WULF,10,06/18/2026,Call,823,$576.1K,852,0,"Friday, October 10, 2025 at 10:52 AM",Call Sweep,options_data_2024-01-15_02-30.csv
CAT,640,05/15/2026,Call,400,$594K,402,0,"Friday, October 10, 2025 at 10:55 AM",Unusual Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,320,12/17/2027,Call,408,$873.1K,411,0,"Friday, October 10, 2025 at 10:59 AM",Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,225,06/18/2026,Call,686,$1.3M,715,0,"Friday, October 10, 2025 at 11:04 AM",Call Sweep,options_data_2024-01-15_02-30.csv
IBIT,69,11/21/2025,Call,2000,$860K,2189,0,"Friday, October 10, 2025 at 11:06 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AMD,240,01/16/2026,Call,600,$1.2M,2717,0,"Friday, October 10, 2025 at 11:13 AM",Call Sweep,options_data_2024-01-15_02-30.csv
TSLA,270,12/19/2025,Put,1633,$424.6K,1641,0,"Friday, October 10, 2025 at 11:14 AM",Put Sweep,options_data_2024-01-15_02-30.csv
COIN,440,01/16/2026,Call,160,$518.4K,342,0,"Friday, October 10, 2025 at 11:14 AM",Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,185,02/20/2026,Call,313,$809.1K,456,0,"Friday, October 10, 2025 at 11:14 AM",Call Sweep,options_data_2024-01-15_02-30.csv
TSLA,460,11/21/2025,Call,352,$887K,541,0,"Friday, October 10, 2025 at 11:15 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AMD,230,01/16/2026,Call,250,$598.8K,1249,0,"Friday, October 10, 2025 at 11:15 AM",Call Sweep,options_data_2024-01-15_02-30.csv
AVGO,380,11/21/2025,Call,500,$429.8K,1478,0,"Friday, October 10, 2025 at 11:17 AM",Call Sweep,options_data_2024-01-15_02-30.csv
NVDA,205,12/19/2025,Call,802,$806K,1212,0,"Friday, October 10, 2025 at 11:18 AM",Call Sweep,options_data_2024-01-15_02-30.csv
GLD,366,11/14/2025,Put,594,$463.3K,668,0,"Friday, October 10, 2025 at 11:19 AM",Unusual Put Sweep,options_data_2024-01-15_02-30.csv
GLD,367,11/14/2025,Put,727,$599.8K,730,0,"Friday, October 10, 2025 at 11:19 AM",Unusual Put Sweep,options_data_2024-01-15_02-30.csv
JD,40,01/16/2026,Call,3602,$540.2K,26772,0,"Friday, October 10, 2025 at 11:21 AM",Call Sweep,options_data_2024-01-15_02-30.csv
